date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:44:24	6449/6449	---M-Z	200	added ('OK')	text/html	etag:%221931-5a62c010c39b0%22	https://creazione.avanzare.co/gravity/demo/index.html?bg=kenburns	D:/My%20Web%20Sites/coming%20soooooon/creazione.avanzare.co/gravity/demo/index9052.html	(from )
12:44:25	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2007:14:26%20GMT	https://creazione.avanzare.co/robots.txt		(from )
12:44:25	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-5a62c011215f9%22	https://creazione.avanzare.co/gravity/demo/assets/favicon.ico	D:/My%20Web%20Sites/coming%20soooooon/creazione.avanzare.co/gravity/demo/assets/favicon.ico	(from https://creazione.avanzare.co/gravity/demo/index.html?bg=kenburns)
12:44:26	211196/211196	---M--	200	added ('OK')	text/css	etag:%22338fc-5a62c011aa556%22	https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css	D:/My%20Web%20Sites/coming%20soooooon/creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css	(from https://creazione.avanzare.co/gravity/demo/index.html?bg=kenburns)
12:44:27	4810/4810	---M--	200	added ('OK')	image/png	etag:%2212ca-5a62c015f3825%22	https://creazione.avanzare.co/gravity/demo/assets/images/logo.png	D:/My%20Web%20Sites/coming%20soooooon/creazione.avanzare.co/gravity/demo/assets/images/logo.png	(from https://creazione.avanzare.co/gravity/demo/index.html?bg=kenburns)
12:44:27	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2007:14:29%20GMT	https://creazione.avanzare.co/gravity/demo/assets/fonts/glyphicons-halflings-regular.eot	D:/My%20Web%20Sites/coming%20soooooon/creazione.avanzare.co/gravity/demo/assets/fonts/glyphicons-halflings-regular.eot	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
12:44:28	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2007:14:30%20GMT	https://creazione.avanzare.co/gravity/demo/assets/fonts/glyphicons-halflings-regular.eot?	D:/My%20Web%20Sites/coming%20soooooon/creazione.avanzare.co/gravity/demo/assets/fonts/glyphicons-halflings-regulard41d.eot	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
12:44:28	265112/265112	---M--	200	added ('OK')	text/javascript	date:Thu,%2021%20May%202020%2017:40:16%20GMT	https://creazione.avanzare.co/gravity/demo/assets/js/xsg235t4r1r.js	D:/My%20Web%20Sites/coming%20soooooon/creazione.avanzare.co/gravity/demo/assets/js/xsg235t4r1r.js	(from https://creazione.avanzare.co/gravity/demo/index.html?bg=kenburns)
12:44:28	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2007:14:30%20GMT	https://creazione.avanzare.co/gravity/demo/assets/fonts/glyphicons-halflings-regular.woff2	D:/My%20Web%20Sites/coming%20soooooon/creazione.avanzare.co/gravity/demo/assets/fonts/glyphicons-halflings-regular.woff2	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
12:44:29	196/196	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2021%20May%202025%2007:14:30%20GMT	https://creazione.avanzare.co/gravity/demo/assets/fonts/glyphicons-halflings-regular.woff	D:/My%20Web%20Sites/coming%20soooooon/creazione.avanzare.co/gravity/demo/assets/fonts/glyphicons-halflings-regular.woff	(from https://creazione.avanzare.co/gravity/demo/assets/css/asf2525xljt.css)
